,name,status,workstream_name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8,Analytic_W9,Independent_W9,Determined_W9,Professional_W9,Studious_W9,Imaginative_W9,Analytic_W10,Independent_W10,Determined_W10,Professional_W10,Studious_W10,Imaginative_W10
119,Ives Weddell,Completed Training,Business 30,Ely Kely,4,2,2,2,1,4,3.0,3.0,1.0,2.0,5.0,2.0,3.0,2.0,5.0,1.0,3.0,1.0,8.0,8.0,8.0,4.0,7.0,7.0,4.0,7.0,6.0,4.0,3.0,8.0,6.0,7.0,4.0,1.0,6.0,3.0,5.0,8.0,5.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,5.0,4.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
120,Gerda Yuille,Completed Training,Business 30,Ely Kely,3,4,2,2,3,4,5.0,5.0,5.0,5.0,2.0,3.0,6.0,2.0,1.0,6.0,4.0,5.0,6.0,6.0,8.0,5.0,3.0,2.0,6.0,3.0,8.0,7.0,4.0,7.0,7.0,8.0,4.0,3.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,4.0,8.0,6.0,8.0,7.0,5.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0
121,Pyotr De Zuani,Discontinued From Course,Data 28,Trixie Orange,1,3,4,2,2,2,3.0,1.0,3.0,6.0,2.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Vince Scott,Completed Training,Data 28,Trixie Orange,1,1,4,3,3,4,3.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,2.0,3.0,3.0,8.0,5.0,7.0,6.0,5.0,4.0,3.0,8.0,7.0,8.0,7.0,8.0,5.0,8.0,7.0,1.0,6.0,4.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
123,Kellie Althorp,Completed Training,Data 28,Trixie Orange,3,4,1,1,5,2,2.0,3.0,2.0,6.0,3.0,4.0,1.0,2.0,1.0,4.0,1.0,7.0,5.0,1.0,4.0,2.0,4.0,8.0,6.0,8.0,5.0,5.0,7.0,7.0,8.0,5.0,7.0,6.0,4.0,4.0,8.0,6.0,6.0,8.0,5.0,8.0,3.0,7.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
124,Aida Bothams,Completed Training,Data 28,Trixie Orange,4,2,2,3,3,1,7.0,6.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,3.0,7.0,8.0,8.0,4.0,7.0,2.0,6.0,4.0,7.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
125,Nettie Civitillo,Completed Training,Data 28,Trixie Orange,5,4,3,1,1,6,2.0,5.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,5.0,8.0,5.0,2.0,8.0,5.0,4.0,5.0,8.0,6.0,7.0,5.0,4.0,3.0,2.0,5.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,3.0,7.0,,,,,,,,,,,,
126,Bernadette Gerardi,Completed Training,Data 28,Trixie Orange,6,1,3,2,2,3,2.0,5.0,4.0,1.0,4.0,3.0,1.0,4.0,1.0,3.0,5.0,2.0,5.0,8.0,8.0,5.0,5.0,7.0,8.0,8.0,7.0,8.0,3.0,8.0,1.0,8.0,5.0,8.0,8.0,2.0,7.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
127,Teddy Ham,Completed Training,Data 28,Trixie Orange,4,4,2,1,4,1,4.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,8.0,5.0,2.0,5.0,3.0,3.0,7.0,5.0,6.0,4.0,8.0,1.0,8.0,4.0,6.0,6.0,2.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
128,Ivory Linnemann,Completed Training,Data 28,Trixie Orange,2,1,3,1,3,4,1.0,3.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,4.0,6.0,4.0,8.0,1.0,7.0,6.0,7.0,4.0,7.0,7.0,6.0,4.0,8.0,8.0,8.0,2.0,3.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
129,Onida Tregear,Completed Training,Data 28,Trixie Orange,6,3,1,5,2,2,5.0,2.0,5.0,1.0,6.0,4.0,3.0,2.0,1.0,2.0,5.0,4.0,8.0,3.0,8.0,7.0,8.0,3.0,8.0,8.0,4.0,8.0,3.0,8.0,8.0,2.0,3.0,3.0,6.0,8.0,8.0,2.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
130,Jacki Pinkstone,Completed Training,Data 28,Trixie Orange,2,1,2,2,4,2,4.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,4.0,3.0,6.0,8.0,5.0,3.0,3.0,1.0,5.0,5.0,7.0,5.0,5.0,6.0,3.0,4.0,8.0,4.0,6.0,8.0,8.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,,,,,,,,,,,,
131,Kaleb Cappel,Completed Training,Data 28,Trixie Orange,4,5,5,4,1,3,4.0,3.0,1.0,2.0,3.0,2.0,5.0,3.0,1.0,4.0,1.0,3.0,8.0,1.0,7.0,8.0,4.0,8.0,5.0,5.0,7.0,6.0,8.0,4.0,2.0,4.0,4.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,6.0,8.0,,,,,,,,,,,,
132,Gussy Mathias,Completed Training,Data 29,John Sandbox,6,3,2,4,5,6,6.0,2.0,7.0,6.0,1.0,2.0,3.0,5.0,3.0,1.0,3.0,2.0,6.0,6.0,5.0,1.0,5.0,3.0,7.0,7.0,8.0,3.0,3.0,8.0,6.0,8.0,2.0,8.0,3.0,2.0,6.0,8.0,5.0,8.0,8.0,8.0,4.0,8.0,5.0,8.0,6.0,8.0,8.0,8.0,8.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,6.0,8.0
133,Shawn Bowmer,Completed Training,Data 29,John Sandbox,8,2,2,1,3,5,1.0,2.0,2.0,1.0,8.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,7.0,6.0,4.0,6.0,8.0,8.0,8.0,4.0,7.0,6.0,4.0,7.0,8.0,4.0,5.0,4.0,5.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0
134,Arda Disbrow,Completed Training,Data 29,John Sandbox,2,2,4,2,2,4,5.0,3.0,5.0,2.0,1.0,1.0,7.0,6.0,1.0,3.0,4.0,2.0,6.0,7.0,7.0,4.0,5.0,6.0,8.0,4.0,4.0,4.0,8.0,6.0,8.0,7.0,8.0,5.0,7.0,8.0,5.0,6.0,8.0,8.0,5.0,8.0,7.0,8.0,8.0,8.0,5.0,8.0,6.0,8.0,3.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
135,El Durante,Completed Training,Data 29,John Sandbox,2,2,5,4,3,1,3.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,2.0,4.0,8.0,8.0,8.0,6.0,4.0,8.0,8.0,2.0,6.0,2.0,6.0,3.0,7.0,7.0,2.0,8.0,3.0,8.0,8.0,8.0,4.0,8.0,8.0,3.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
136,Dionysus Garter,Completed Training,Data 29,John Sandbox,3,2,1,3,4,5,4.0,1.0,3.0,2.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,7.0,7.0,6.0,8.0,4.0,8.0,6.0,7.0,2.0,8.0,4.0,4.0,7.0,2.0,5.0,4.0,2.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,5.0,6.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
137,Connor Gegg,Discontinued From Course,Data 29,John Sandbox,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Barrie Schruurs,Completed Training,Data 29,John Sandbox,1,5,2,1,2,2,3.0,1.0,5.0,7.0,3.0,5.0,2.0,3.0,3.0,5.0,2.0,4.0,8.0,6.0,5.0,8.0,4.0,5.0,5.0,8.0,3.0,5.0,8.0,4.0,3.0,7.0,6.0,8.0,6.0,7.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,6.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
139,Fletcher Ayllett,Completed Training,Data 29,John Sandbox,1,3,2,4,2,2,3.0,3.0,2.0,4.0,4.0,4.0,1.0,1.0,4.0,3.0,4.0,1.0,7.0,6.0,6.0,8.0,7.0,6.0,4.0,8.0,8.0,8.0,4.0,4.0,8.0,8.0,7.0,6.0,8.0,6.0,2.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
140,Slade Cannavan,Completed Training,Data 29,John Sandbox,5,4,2,6,3,4,5.0,3.0,4.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,5.0,7.0,8.0,7.0,8.0,8.0,3.0,6.0,6.0,8.0,5.0,7.0,7.0,8.0,8.0,6.0,2.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,4.0,6.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0
141,Bert Spall,Completed Training,Data 29,John Sandbox,3,3,6,3,7,1,3.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,6.0,8.0,8.0,6.0,6.0,3.0,8.0,8.0,5.0,8.0,3.0,6.0,6.0,3.0,5.0,5.0,7.0,3.0,8.0,7.0,6.0,7.0,6.0,8.0,7.0,4.0,8.0,6.0,8.0,7.0,5.0,4.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
142,Denyse Worley,Completed Training,Data 30,Edward Reinhart,4,3,2,1,6,1,3.0,1.0,5.0,5.0,1.0,4.0,5.0,2.0,5.0,4.0,1.0,5.0,3.0,8.0,5.0,3.0,6.0,3.0,3.0,8.0,5.0,5.0,6.0,3.0,4.0,8.0,3.0,5.0,6.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,,,,,,,,,,,,
143,Jard Antonowicz,Completed Training,Data 30,Edward Reinhart,1,5,5,3,2,3,2.0,3.0,4.0,2.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,5.0,8.0,5.0,7.0,1.0,4.0,5.0,6.0,6.0,8.0,8.0,5.0,7.0,4.0,3.0,4.0,7.0,5.0,8.0,8.0,8.0,7.0,7.0,6.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
144,Burtie Clubley,Completed Training,Data 30,Edward Reinhart,7,1,5,1,3,4,2.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,2.0,5.0,3.0,6.0,8.0,3.0,5.0,8.0,2.0,8.0,8.0,8.0,7.0,3.0,8.0,4.0,5.0,3.0,4.0,8.0,4.0,8.0,8.0,8.0,8.0,6.0,5.0,8.0,7.0,5.0,8.0,7.0,8.0,,,,,,,,,,,,
145,Idaline Gadeaux,Completed Training,Data 30,Edward Reinhart,2,3,4,1,4,4,6.0,5.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,1.0,3.0,3.0,6.0,8.0,8.0,3.0,6.0,4.0,8.0,6.0,4.0,6.0,6.0,4.0,7.0,4.0,4.0,1.0,5.0,8.0,6.0,5.0,6.0,4.0,8.0,7.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
146,Gaspard Dunn,Completed Training,Data 30,Edward Reinhart,1,1,3,4,3,4,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,4.0,6.0,8.0,3.0,7.0,7.0,5.0,8.0,5.0,2.0,8.0,8.0,7.0,8.0,4.0,8.0,7.0,4.0,5.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,
147,Reg Mcreynold,Completed Training,Data 30,Edward Reinhart,1,3,2,1,2,3,4.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,6.0,3.0,4.0,1.0,8.0,3.0,7.0,6.0,8.0,1.0,7.0,4.0,8.0,6.0,4.0,5.0,7.0,5.0,6.0,2.0,8.0,3.0,3.0,6.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
148,Penni Grioli,Completed Training,Data 30,Edward Reinhart,3,3,2,5,4,4,3.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,4.0,1.0,2.0,7.0,6.0,7.0,5.0,8.0,4.0,6.0,7.0,8.0,6.0,8.0,8.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,4.0,,,,,,,,,,,,
149,Kial Gowdy,Completed Training,Data 30,Edward Reinhart,3,2,3,3,1,2,1.0,2.0,4.0,5.0,3.0,5.0,3.0,4.0,7.0,2.0,7.0,1.0,8.0,8.0,6.0,2.0,1.0,4.0,2.0,2.0,7.0,1.0,1.0,8.0,6.0,3.0,8.0,3.0,4.0,6.0,8.0,6.0,8.0,5.0,8.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,,,,,,,,,,,,
150,Haskell Mcdonnell,Completed Training,Data 30,Edward Reinhart,5,1,1,4,4,1,2.0,4.0,1.0,3.0,6.0,1.0,1.0,5.0,4.0,1.0,2.0,3.0,8.0,3.0,5.0,6.0,8.0,7.0,5.0,2.0,5.0,8.0,4.0,3.0,3.0,7.0,1.0,6.0,4.0,7.0,8.0,7.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
151,Jeffy Dudding,Completed Training,Data 30,Edward Reinhart,2,3,4,2,2,3,5.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,5.0,4.0,8.0,8.0,7.0,6.0,5.0,8.0,5.0,7.0,8.0,7.0,6.0,8.0,5.0,3.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,6.0,7.0,,,,,,,,,,,,
152,Damaris Vallance,Completed Training,Data 30,Edward Reinhart,4,5,3,2,3,2,3.0,2.0,5.0,4.0,1.0,1.0,6.0,3.0,2.0,3.0,1.0,4.0,8.0,5.0,8.0,8.0,4.0,8.0,8.0,3.0,1.0,3.0,8.0,5.0,4.0,4.0,8.0,4.0,5.0,4.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
153,Stacee Kidson,Completed Training,Data 30,Edward Reinhart,2,3,2,3,1,3,5.0,5.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,6.0,4.0,7.0,2.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,5.0,8.0,7.0,2.0,5.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,8.0,,,,,,,,,,,,
154,Anica Vallis,Completed Training,Data 30,Edward Reinhart,1,5,4,2,7,4,5.0,4.0,2.0,4.0,3.0,6.0,4.0,4.0,5.0,3.0,2.0,8.0,6.0,8.0,8.0,6.0,6.0,3.0,3.0,6.0,8.0,8.0,4.0,7.0,8.0,7.0,5.0,5.0,8.0,5.0,7.0,8.0,8.0,6.0,8.0,6.0,8.0,4.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
155,Emmey Wadforth,Completed Training,Data 31,Lucy Foster,4,1,7,3,2,1,1.0,1.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,8.0,5.0,4.0,3.0,8.0,5.0,2.0,4.0,8.0,6.0,7.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,8.0,8.0,7.0,8.0,8.0,4.0,5.0,7.0,5.0,5.0,8.0,8.0,5.0,6.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0
156,Sayer Weedon,Completed Training,Data 31,Lucy Foster,1,5,7,1,3,2,6.0,1.0,5.0,3.0,1.0,3.0,4.0,5.0,4.0,2.0,3.0,1.0,7.0,2.0,8.0,8.0,7.0,5.0,4.0,8.0,4.0,8.0,8.0,8.0,3.0,5.0,2.0,4.0,6.0,2.0,3.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
157,Norbie Iacobucci,Discontinued From Course,Data 31,Lucy Foster,2,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Lynnell Samber,Completed Training,Data 31,Lucy Foster,4,5,1,4,5,2,1.0,3.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,6.0,8.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,8.0,7.0,5.0,6.0,8.0,5.0,2.0,8.0,3.0,8.0,5.0,3.0,6.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0
159,Hogan Bushnell,Completed Training,Data 31,Lucy Foster,1,3,3,2,5,4,4.0,2.0,5.0,4.0,2.0,3.0,1.0,3.0,3.0,8.0,8.0,3.0,6.0,2.0,5.0,4.0,4.0,7.0,8.0,5.0,4.0,7.0,8.0,8.0,5.0,7.0,5.0,5.0,5.0,3.0,7.0,8.0,3.0,4.0,7.0,8.0,8.0,7.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0
160,Scott Duny,Completed Training,Data 31,Lucy Foster,1,7,5,1,1,3,3.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,1.0,2.0,1.0,3.0,7.0,7.0,7.0,6.0,5.0,4.0,7.0,7.0,6.0,7.0,6.0,8.0,5.0,2.0,7.0,7.0,3.0,5.0,8.0,5.0,5.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
161,Viv Newby,Completed Training,Data 31,Lucy Foster,3,3,1,3,2,5,5.0,1.0,1.0,4.0,4.0,1.0,4.0,7.0,1.0,2.0,3.0,4.0,5.0,3.0,7.0,8.0,7.0,8.0,6.0,8.0,7.0,5.0,4.0,7.0,5.0,8.0,8.0,3.0,3.0,2.0,8.0,6.0,3.0,8.0,8.0,8.0,8.0,6.0,7.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0
162,Louise Dowse,Completed Training,Data 31,Lucy Foster,3,1,7,1,1,4,3.0,5.0,6.0,2.0,6.0,4.0,2.0,2.0,6.0,3.0,4.0,2.0,7.0,5.0,7.0,4.0,6.0,8.0,8.0,2.0,4.0,8.0,4.0,5.0,6.0,3.0,8.0,6.0,4.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,8.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
163,Haroun Mccrohon,Completed Training,Data 31,Lucy Foster,2,5,3,6,5,4,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,6.0,1.0,4.0,4.0,2.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,3.0,8.0,7.0,8.0,7.0,7.0,7.0,3.0,7.0,8.0,8.0,8.0,5.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
164,Devan Claricoats,Completed Training,Data 31,Lucy Foster,3,2,2,4,4,4,2.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,8.0,5.0,8.0,5.0,6.0,5.0,7.0,3.0,6.0,6.0,5.0,5.0,4.0,8.0,7.0,8.0,1.0,8.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,8.0,4.0,7.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,7.0,8.0
165,Matthaeus Audas,Completed Training,Data 31,Lucy Foster,5,4,3,3,3,2,1.0,1.0,1.0,4.0,2.0,4.0,2.0,6.0,5.0,1.0,4.0,5.0,8.0,5.0,6.0,4.0,8.0,2.0,2.0,8.0,7.0,8.0,6.0,4.0,8.0,5.0,1.0,6.0,4.0,7.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0
166,Halsey Broader,Completed Training,Data 31,Lucy Foster,2,1,1,6,3,2,6.0,6.0,3.0,3.0,2.0,1.0,3.0,6.0,7.0,5.0,2.0,1.0,7.0,6.0,6.0,6.0,8.0,3.0,2.0,5.0,7.0,6.0,6.0,4.0,7.0,4.0,8.0,3.0,3.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0
167,Rina Soffe,Completed Training,Data 31,Lucy Foster,4,3,4,4,2,5,4.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,5.0,5.0,4.0,5.0,8.0,6.0,4.0,2.0,8.0,6.0,3.0,2.0,6.0,3.0,4.0,8.0,8.0,3.0,7.0,7.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,3.0,8.0,4.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,7.0
168,Marcy Treat,Completed Training,Data 32,Gina Cartwright,6,5,2,2,4,5,5.0,3.0,4.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2.0,6.0,3.0,4.0,7.0,6.0,6.0,8.0,6.0,6.0,2.0,8.0,8.0,8.0,3.0,7.0,2.0,6.0,4.0,6.0,5.0,8.0,8.0,7.0,8.0,5.0,8.0,8.0,8.0,7.0,8.0,7.0,,,,,,,,,,,,
169,Heindrick Mckiddin,Completed Training,Data 32,Gina Cartwright,5,3,2,3,3,3,1.0,3.0,3.0,1.0,2.0,3.0,5.0,2.0,7.0,1.0,4.0,5.0,5.0,5.0,8.0,5.0,5.0,2.0,4.0,4.0,8.0,8.0,1.0,8.0,5.0,7.0,6.0,8.0,4.0,6.0,8.0,6.0,8.0,6.0,7.0,8.0,5.0,7.0,5.0,8.0,5.0,4.0,,,,,,,,,,,,
170,Danella Winkett,Completed Training,Data 32,Gina Cartwright,6,3,6,1,1,3,3.0,7.0,1.0,2.0,5.0,1.0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,8.0,4.0,7.0,5.0,5.0,3.0,4.0,4.0,1.0,7.0,5.0,2.0,5.0,7.0,7.0,8.0,8.0,3.0,7.0,8.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
171,Darrin Perrelle,Completed Training,Data 32,Gina Cartwright,3,1,2,4,6,2,3.0,5.0,7.0,6.0,2.0,3.0,7.0,2.0,2.0,5.0,3.0,2.0,6.0,2.0,6.0,7.0,3.0,8.0,8.0,5.0,4.0,2.0,6.0,6.0,5.0,8.0,8.0,8.0,7.0,5.0,8.0,8.0,8.0,5.0,6.0,6.0,3.0,8.0,2.0,7.0,8.0,8.0,,,,,,,,,,,,
172,Janelle Forbear,Completed Training,Data 32,Gina Cartwright,1,4,1,3,4,6,2.0,1.0,2.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,1.0,2.0,8.0,8.0,8.0,1.0,8.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,4.0,7.0,6.0,4.0,8.0,8.0,8.0,7.0,8.0,6.0,8.0,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,
173,Sorcha Argue,Completed Training,Data 32,Gina Cartwright,1,4,2,4,5,6,2.0,1.0,1.0,2.0,6.0,6.0,3.0,5.0,3.0,2.0,2.0,2.0,8.0,3.0,8.0,7.0,8.0,7.0,4.0,6.0,7.0,6.0,5.0,7.0,4.0,6.0,8.0,5.0,5.0,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,
174,Toddie Rubanenko,Completed Training,Data 32,Gina Cartwright,6,1,3,4,3,1,1.0,1.0,4.0,4.0,6.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,5.0,6.0,4.0,1.0,8.0,3.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,6.0,5.0,3.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,7.0,8.0,7.0,,,,,,,,,,,,
175,Selby Floyd,Completed Training,Data 32,Gina Cartwright,4,4,1,4,5,3,2.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,8.0,6.0,7.0,8.0,4.0,6.0,8.0,7.0,8.0,7.0,1.0,7.0,3.0,7.0,2.0,5.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,4.0,6.0,8.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,
176,Claudio Handrick,Completed Training,Data 32,Gina Cartwright,4,3,3,1,4,2,1.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,3.0,4.0,3.0,1.0,7.0,8.0,6.0,6.0,5.0,6.0,8.0,6.0,7.0,8.0,7.0,7.0,8.0,8.0,5.0,4.0,5.0,7.0,8.0,8.0,8.0,4.0,8.0,7.0,8.0,6.0,4.0,4.0,8.0,8.0,,,,,,,,,,,,
